# capacities: continuous 640000 N, highLoad 1280000 N, emergency 4480000 N. band: 0 Continuous 1 Performance 2 Extreme 3 Emergency 4 Saturated
sample,time_s,band,appliedCmdAvg,rawDemandAvg,requiredLoadN,dynamicLoadN,contReserveN,highReserveN,emergReserveN,curvReqMs2,curvAppliedMs2,curvClamped,availAccelMs2,accelReserveMs2,normalRate_degs,adhesionAccelMs2,adhesionForceN,adhesionLimited,airStability01,aeroN,grounded
310,3.101,0,0.000,0.000,12844,12844,627156,1267156,4467156,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,12844,1
312,3.121,0,0.000,0.000,13141,13141,626859,1266859,4466859,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,13141,1
314,3.141,0,0.000,0.000,13441,13441,626559,1266559,4466559,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,13441,1
316,3.161,0,0.000,0.000,13741,13741,626259,1266259,4466260,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,13741,1
318,3.181,0,0.000,0.000,14048,14048,625952,1265952,4465952,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,14048,1
320,3.201,0,0.000,0.000,14360,14360,625640,1265640,4465640,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,14360,1
322,3.221,0,0.000,0.000,14662,14662,625338,1265338,4465338,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,14662,1
324,3.241,0,0.000,0.000,14975,14975,625025,1265025,4465026,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,14975,1
326,3.261,0,0.000,0.000,15294,15294,624706,1264706,4464706,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,15294,1
328,3.281,0,0.000,0.000,15612,15612,624388,1264388,4464388,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,15612,1
330,3.301,0,0.000,0.000,15940,15940,624060,1264060,4464061,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,15940,1
332,3.321,0,0.000,0.000,16264,16264,623736,1263736,4463736,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,16264,1
334,3.341,0,0.000,0.000,16595,16595,623405,1263405,4463405,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,16595,1
336,3.361,0,0.000,0.000,16930,16930,623070,1263070,4463070,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,16930,1
338,3.381,0,0.000,0.000,17265,17265,622735,1262735,4462736,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,17265,1
340,3.401,0,0.000,0.000,17603,17603,622397,1262397,4462397,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,17603,1
342,3.421,0,0.000,0.000,17935,17935,622065,1262065,4462065,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,17935,1
344,3.441,0,0.000,0.000,18279,18279,621721,1261721,4461721,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,18279,1
346,3.461,0,0.000,0.000,18628,18628,621372,1261372,4461372,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,18628,1
348,3.481,0,0.000,0.000,18980,18980,621020,1261020,4461020,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,18980,1
350,3.501,0,0.000,0.000,19332,19332,620668,1260668,4460668,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,19332,1
352,3.521,0,0.000,0.000,19688,19688,620312,1260312,4460312,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,19688,1
354,3.541,0,0.000,0.000,20049,20049,619952,1259952,4459952,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,20049,1
356,3.561,0,0.000,0.000,20408,20408,619593,1259593,4459593,0.00,0.00,0,407.3,407.3,0.0,0.00,0,0,0.000,20408,1
